Assignee,Blockchain ecosystem,Date Created,Description,Impact Area,Logo,Name,preJan20th) Upvotes,Reviewed?,Submitted by (email),Submitted by (name),Submitted by owner?,Subscribed,Topic,Upvotes,Web3
http://www.electrify.asia/,Ethereum,5/7/2022 11:03 AM,"Synergy is a peer-to-peer (P2P) energy trading platform that allows for the trading of energy among individual producers of energy, reaping stable revenues to consumers across city-wide energy grids, providing grater energy options at fairer prices. Adopting Blockchain in 2018, Electrify attained one of the largest token sale of a Singapore company to accelerate Electrify’s growth, enhance artificial intelligence, as well as develop and update Marketplace and Synergy.",Energy,,Electrify Asia,0,checked,,,,,Marketplace,0,Token
http://www.electron.org.uk/,,5/7/2022 11:03 AM,"Our current projects deliver immediate solutions for local network constraints, with the ElectronConnect platform enabling multiple, repeatable market solutions, designed by the users themselves.",Energy,,"Electron
",0,checked,,,,,"Offsetting,Marketplace,Local",0,
https://www.emergingimpact.com/,Celo,5/7/2022 11:03 AM,"Emerging Impact partners with International NGOs, financial service providers, and government agencies to modernize financial services in emerging markets. Our vision is to realize economic empowerment of millions of people at a time by leading the fight for inclusive, digital finance through open banking & decentralized microfinance. Fintechs and aid organizations all over the globe use Umoja to instantly send & receive money in hard-to-reach markets.",Infrastructure,,Emerging Impact,0,checked,,,,,"Local,Payments",0,Oracle
https://www.energyweb.org/,Energy Web Chain,5/7/2022 11:03 AM,"The EW-STACK is a suite of open source tools built on top of the Energy Web Chain, the world’s first public, enterprise-grade blockchain tailored to the energy sector",Energy,,"Energy Web 
",0,checked,,,,,Renewables,0,Token
https://www.ibm.com/case-studies/energy-blockchain-labs-inc,Hyperledger Fabric,5/7/2022 11:03 AM,"Using IBM Blockchain technology, Energy Blockchain Labs created an efficient, transparent platform that allows high-emission organizations to monitor their carbon footprints and meet quotas by buying carbon credits from low emitters.",Energy,,Energy-Blockchain Labs and IBM,0,checked,,,,,"Marketplace,Offsetting",0,
https://opensea.io/collection/ethimals,Ethereum,5/7/2022 11:03 AM,50% of all money generated from Save the Ethimals goes directly to our supported charities. Huge perks exist for community members. Visit our website to see more.,Nature,,Ethimals,0,checked,,,,,Biodiversity,0,NFT
https://fishcoin.co/,Binance Smart Chain,5/7/2022 11:03 AM,incentivizes data capture and sharing at all stages of the seafood supply chain.,Food & Agriculture,,FishCoin,0,checked,,,,,Traceability,0,
http://flexidao.com/,Energy Web Chain,5/7/2022 11:03 AM,"FlexiDAO's software helps companies reach net zero emissions by tracing where their electricity comes from and its true CO2, every hour of the day. We use blockchain to match energy production data and energy consumption data every hour of the day - linked to the official energy certificates.",Energy,,"FlexiDao 
",3,checked,,,,,"Traceability,Renewables",0,DAO
http://www.flowcarbon.com/,Celo,5/7/2022 11:03 AM,"Flow Carbon is a crypto native team dedicated to leveraging the power of blockchain to add transparency, liquidity and volume to the voluntary carbon market, also known as the carbon offset market.",Carbon,flowcarbon-logo.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/RG0JpIPGo_cTj33cYalosA/4z5jN_wVe9kEH67f4fnnd5QQtODgHVDlLjAgfDlfJAodYbg0AHTJI-zNYN7AvEmwyx4zNI9RYxbIEio1ouswFdVbP7f__pMDU4sme0Wm5FI/wpD_oJRmmC9WHX5nSEsd_Ss36GgpLBzzkiOyRJQ1hKI),FlowCarbon,7,checked,,,,,Offsetting,0,
https://fohat.co/,Not applicable,5/7/2022 11:03 AM,"Our  purpose is to help society to have cheaper and more accessible energy, a more democratic market and help the planet to have its natural resources preserved for this and future generations. Energy for a better life",Energy,,Fohat,3,checked,,,,,Data,0,
https://foldapp.com/,Bitcoin,5/7/2022 11:03 AM,"Fold is the best way to earn bitcoin back on everything you do. Use the Fold Visa debit card, and purchase gift cards from the Fold Store, to earn bitcoin on everyday purchases.",Investing,,Fold,2,checked,,,,,Payments,0,
https://www.forestbase.io/,,5/7/2022 11:03 AM,We unlock investing in tangible ESG assets — hectares of protected rainforest.,Investing,,Forestbase,2,checked,,,,,"Biodiversity,Land",0,
